postcode,total_lodgements,avg_weekly_rent,median_weekly_rent,total_refunds,avg_days_bond_held,median_days_bond_held,avg_payment_to_tenant,bonds_held,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population,refund_to_lodgement_ratio,rent_pressure_score
2073,370,1194.28,1090.0,382.0,808.47,586.5,3548.66,1031,1116.41,10.0,1176.88,10.0,17221.0,1.03,0.98
2074,406,1072.78,900.0,429.0,871.0,654.0,3397.28,1172,1113.29,10.0,1165.24,10.0,23423.0,1.06,0.81
2075,403,1153.0,1000.0,408.0,969.66,676.0,3572.91,1114,1109.11,10.0,1162.32,10.0,21665.0,1.01,0.9
2076,412,1117.82,987.5,441.0,979.93,633.0,3257.08,1284,1101.59,10.0,1152.28,10.0,25340.0,1.07,0.9
2077,1724,692.41,670.0,1929.0,994.33,674.0,2000.51,6199,1047.52,8.0,1083.41,9.0,42819.0,1.12,0.64
2079,133,764.5,700.0,131.0,964.93,680.0,2491.89,471,1088.16,10.0,1103.92,10.0,7816.0,0.98,0.64
2080,17,749.41,700.0,11.0,1363.45,547.0,2135.27,70,1090.64,10.0,1109.15,10.0,1766.0,0.65,0.64
2081,58,775.43,785.0,58.0,1205.6,640.0,2484.52,239,1102.61,10.0,1115.65,10.0,5394.0,1.0,0.71
2082,46,821.3,800.0,51.0,1073.78,520.0,2650.88,180,1105.24,10.0,1105.61,10.0,5458.0,1.11,0.72
2083,32,588.91,625.0,34.0,1180.29,717.0,1801.74,144,1060.8,9.0,1069.71,9.0,1665.0,1.06,0.59
2084,28,1423.57,1200.0,21.0,1534.38,687.0,4119.14,139,1106.29,10.0,1123.34,10.0,3759.0,0.75,1.08
2085,112,1324.42,1375.0,113.0,1118.03,719.0,4166.3,343,1104.91,10.0,1139.79,10.0,11452.0,1.01,1.24
2086,224,1093.15,1100.0,208.0,889.79,603.5,3385.55,718,1108.31,10.0,1144.15,10.0,14214.0,0.93,0.99
2087,238,1013.95,950.0,222.0,1000.62,580.5,3465.51,754,1095.43,10.0,1135.42,10.0,13161.0,0.93,0.87
2088,1177,1183.34,850.0,1271.0,1022.71,653.0,3586.22,4266,1109.54,10.0,1168.95,10.0,28329.0,1.08,0.77
