postcode,total_lodgements,avg_weekly_rent,median_weekly_rent,total_refunds,avg_days_bond_held,median_days_bond_held,avg_payment_to_tenant,bonds_held,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population,refund_to_lodgement_ratio,rent_pressure_score
2783,45,585.11,590.0,47.0,1075.36,691.0,1819.68,189,1013.03,6.0,998.56,7.0,2651.0,1.04,0.58
2784,17,563.53,530.0,23.0,1259.43,791.0,1882.78,69,1058.31,9.0,1044.54,8.0,1300.0,1.35,0.5
2785,100,566.73,580.0,120.0,1278.87,703.5,1690.31,415,1018.47,6.0,1012.68,7.0,4822.0,1.2,0.57
2786,26,548.65,520.0,24.0,811.58,688.0,1610.67,86,1013.12,6.0,998.6,7.0,1178.0,0.92,0.51
2787,102,455.9,440.0,101.0,847.78,576.0,1146.04,376,967.31,3.0,936.16,3.0,4605.0,0.99,0.46
2789,1,650.0,650.0,0.0,971.94,602.0,1574.63,5,997.45,5.0,983.38,6.0,8739.0,0.0,0.65
2790,394,441.93,432.5,419.0,1044.79,561.0,1201.2,1472,934.23,2.0,914.04,2.0,15452.0,1.06,0.46
2792,4,432.5,390.0,8.0,1131.5,619.5,817.5,14,990.08,5.0,972.79,5.0,386.0,2.0,0.39
2793,2,425.0,425.0,5.0,592.0,351.0,992.0,18,919.29,2.0,903.15,2.0,1074.0,2.5,0.46
2794,271,370.77,385.0,259.0,920.92,553.0,930.38,1062,926.11,2.0,902.21,2.0,10504.0,0.96,0.42
2795,1326,502.0,500.0,1403.0,1072.84,651.0,1228.56,4867,992.81,5.0,968.54,5.0,45077.0,1.06,0.5
2797,2,450.0,450.0,4.0,426.75,378.5,1455.0,9,951.99,3.0,915.73,2.0,434.0,2.0,0.47
2798,33,518.79,500.0,33.0,903.03,559.0,1453.7,102,1074.58,9.0,1051.71,9.0,2193.0,1.0,0.46
2799,121,481.61,470.0,124.0,1133.56,627.0,959.24,371,953.73,3.0,921.75,3.0,4156.0,1.02,0.49
2800,1774,576.97,545.0,1731.0,906.98,595.0,1567.34,5838,1006.12,6.0,987.89,6.0,48283.0,0.98,0.54
2804,50,382.4,390.0,44.0,940.66,578.5,899.89,200,977.4,4.0,953.0,4.0,2832.0,0.88,0.4
2805,2,220.0,220.0,3.0,2346.0,1360.0,280.33,15,970.7,4.0,935.04,3.0,408.0,1.5,0.23
2806,3,433.33,430.0,4.0,371.5,371.5,870.0,32,957.17,3.0,923.32,3.0,862.0,1.33,0.45
2807,3,323.33,300.0,2.0,330.5,330.5,270.5,11,866.06,1.0,847.94,1.0,450.0,0.67,0.35
2808,1,330.0,330.0,2.0,1225.5,1225.5,660.0,2,959.25,3.0,938.98,3.0,216.0,2.0,0.34
2810,37,327.43,340.0,41.0,921.51,681.0,819.51,160,955.85,3.0,934.02,3.0,3132.0,1.11,0.36
2818,9,515.0,500.0,7.0,639.43,336.0,845.71,19,1018.1,6.0,969.8,5.0,849.0,0.78,0.49
2820,254,528.75,450.0,198.0,740.85,407.0,1005.06,803,911.8,2.0,900.19,2.0,7378.0,0.78,0.49
2821,108,437.52,450.0,101.0,1246.53,576.0,899.8,406,957.69,3.0,929.03,3.0,4778.0,0.94,0.47
2823,28,266.61,250.0,24.0,482.12,298.0,499.08,109,956.13,3.0,945.36,4.0,1340.0,0.86,0.26
2824,49,302.76,330.0,48.0,921.75,535.5,852.23,204,937.74,2.0,929.73,3.0,2055.0,0.98,0.35
2825,44,328.77,310.0,47.0,916.6,713.0,785.26,219,963.08,3.0,944.35,4.0,2202.0,1.07,0.32
2827,69,320.07,320.0,69.0,957.28,684.0,596.96,334,913.6,2.0,895.41,2.0,3678.0,1.0,0.35
2828,6,242.5,240.0,10.0,1027.2,1082.0,432.5,40,908.57,2.0,928.36,3.0,798.0,1.67,0.26
