postcode,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population
2092,1120.5107713,10.0,1180.6500241,10.0,7384.0
2093,1102.5008339,10.0,1154.4168171,10.0,23555.0
2094,1113.7858044,10.0,1171.4367881,10.0,6141.0
2095,1101.0085655,10.0,1168.7793088,10.0,16296.0
2096,1110.6220894,10.0,1158.0471953,10.0,14955.0
2097,1098.7493735,10.0,1123.4101383,10.0,15991.0
2099,1046.5243395,8.0,1080.2472576,9.0,42917.0
2100,1081.477181,10.0,1116.7430533,10.0,21973.0
2101,1068.207902,9.0,1090.9955784,9.0,19885.0
2102,1090.2857479,10.0,1118.3263427,10.0,8379.0
2103,1082.5634667,10.0,1100.6127434,10.0,10877.0
2104,1083.536998,10.0,1111.2361355,10.0,3807.0
2105,1105.5666163,10.0,1137.1966147,10.0,2008.0
2106,1099.7308941,10.0,1123.7645606,10.0,9659.0
2107,1103.7644723,10.0,1131.489035,10.0,15422.0
2108,1113.0797191,10.0,1140.1910326,10.0,1740.0
2110,1110.6035579,10.0,1164.5854789,10.0,9846.0
2111,1086.3041322,10.0,1130.7635315,10.0,15456.0
2112,1053.6514935,8.0,1093.8106724,10.0,38026.0
2113,1062.8315349,9.0,1112.6120024,10.0,27637.0
2114,1056.723138,8.0,1096.2611267,10.0,25267.0
2115,1004.1161272,6.0,1046.3815093,8.0,12686.0
2116,997.45499265,5.0,1029.5688021,8.0,7274.0
2117,1009.350136,6.0,1050.9910319,9.0,22185.0
2118,1043.80457,8.0,1085.058638,9.0,27888.0
2119,1117.1845175,10.0,1161.7632367,10.0,12458.0
2120,1091.0575817,10.0,1129.9508906,10.0,20988.0
2121,1069.864792,9.0,1122.0703465,10.0,34209.0
2122,1033.4044062,7.0,1081.9725965,9.0,31187.0
2125,1115.0193462,10.0,1156.0741471,10.0,16620.0
2126,1109.7285503,10.0,1151.6022339,10.0,19082.0
2127,1058.7374041,9.0,1114.2562754,10.0,23198.0
2128,981.86208578,4.0,1024.7752494,8.0,3600.0
2130,1063.7115418,9.0,1121.0006373,10.0,7288.0
2131,1006.4833044,6.0,1058.8518944,9.0,23012.0
2132,1031.4675917,7.0,1079.5138678,9.0,10755.0
2133,1020.7272575,7.0,1055.4914237,9.0,10929.0
2134,943.24393265,2.0,1037.8119715,8.0,18224.0
2135,1015.0204222,6.0,1086.3626911,9.0,25915.0
2136,1016.9663848,6.0,1055.6396719,9.0,7763.0
2137,1066.909272,9.0,1107.9350705,10.0,27726.0
2138,1062.0541587,9.0,1122.2060539,10.0,19686.0
2140,997.17414641,5.0,1048.7401529,8.0,20766.0
2141,933.92735224,2.0,1001.3255743,7.0,32425.0
2142,880.80878295,1.0,938.90478202,3.0,27993.0
2143,897.80800072,1.0,956.51504485,4.0,9774.0
2144,814.21065691,1.0,908.42810917,2.0,39333.0
2145,1007.9018828,6.0,1032.5723225,8.0,87531.0
2146,1016.3641706,6.0,1029.8783928,8.0,19456.0
2147,996.03260958,5.0,1005.6467582,7.0,37285.0
2148,960.78357456,3.0,970.78693903,5.0,67483.0
2150,1000.2996261,5.0,1054.5674533,9.0,35254.0
2151,1032.8432771,7.0,1064.8595245,9.0,21204.0
2152,1039.5939734,8.0,1060.8657668,9.0,11261.0
2153,1087.6692167,10.0,1117.170686,10.0,62610.0
2154,1085.8912795,10.0,1123.9868232,10.0,40874.0
2155,1099.8529766,10.0,1145.6470723,10.0,75699.0
2156,1109.2665153,10.0,1125.822437,10.0,13403.0
2157,1076.8351715,9.0,1089.7635394,9.0,4042.0
2158,1086.0129525,10.0,1114.3870921,10.0,8937.0
2159,1090.6431295,10.0,1104.3212547,10.0,5148.0
2160,876.18429045,1.0,934.53787394,3.0,39388.0
2161,827.36857399,1.0,897.81489165,2.0,34379.0
2162,855.8939242,1.0,915.85622009,2.0,20306.0
2163,741.73386002,1.0,833.66887717,1.0,10544.0
2164,846.17422238,1.0,900.79670237,2.0,21273.0
2165,757.52157796,1.0,849.87169239,1.0,45046.0
2166,759.48990574,1.0,849.9635626,1.0,54184.0
2167,1008.1084437,6.0,1018.3304512,7.0,10536.0
2168,807.96951815,1.0,862.4447288,1.0,45023.0
2170,903.87420706,1.0,943.95733108,4.0,114479.0
2171,997.09260846,5.0,1027.2111062,8.0,38882.0
2172,1110.9915852,10.0,1132.1616076,10.0,2892.0
2173,1072.0189366,9.0,1073.2975054,9.0,14544.0
2174,1047.4992045,8.0,1095.0208917,10.0,12080.0
2175,1020.9557805,7.0,1029.8495439,8.0,1790.0
2176,893.3993587800001,1.0,940.6655999,4.0,50022.0
2177,842.64479386,1.0,901.52260112,2.0,17154.0
2178,1011.944576,6.0,1017.7162128,7.0,4170.0
2179,1028.3542569,7.0,1052.3615161,9.0,16262.0
2190,891.78249859,1.0,948.01652797,4.0,27559.0
2191,974.41875644,4.0,1011.055278,7.0,6555.0
2192,914.06411887,2.0,959.64439549,5.0,13781.0
2193,1019.787936,7.0,1062.1132203,9.0,17778.0
2194,886.61650025,1.0,954.02281503,4.0,26132.0
2195,823.1153301,1.0,884.71100223,1.0,27103.0
2196,889.55916727,1.0,939.36479637,3.0,33743.0
2197,880.48662112,1.0,928.91482607,3.0,10121.0
2198,983.53692635,4.0,1001.6084445,7.0,9843.0
2199,874.5170125,1.0,927.27373989,3.0,19651.0
2200,863.91038504,1.0,925.63480139,3.0,48003.0
2203,1042.4906358,8.0,1094.6936603,10.0,13946.0
2204,1023.0792341,7.0,1086.4043173,9.0,26567.0
2205,1006.0617273,6.0,1067.525054,9.0,25338.0
2206,1030.8248635,7.0,1066.4155956,9.0,19730.0
2207,998.95701818,5.0,1032.9372583,8.0,28382.0
2208,1000.2295278,5.0,1036.867974,8.0,12881.0
2209,966.69789236,3.0,1010.8934901,7.0,15825.0
2210,974.65749638,4.0,1010.8256494,7.0,33262.0
2211,1002.4024608,6.0,1026.8952637,8.0,17610.0
2212,982.00164858,4.0,1014.3020134,7.0,17184.0
2213,1025.768531,7.0,1047.6239234,8.0,23290.0
2214,1060.6481402,9.0,1051.27996,9.0,4074.0
2216,980.30452839,4.0,1015.4354069,7.0,28027.0
2217,1011.3279695,6.0,1044.605646,8.0,28673.0
2218,989.27235999,5.0,1019.1462174,7.0,16182.0
2219,1032.4527158,7.0,1053.592176,9.0,13771.0
2220,960.90877077,3.0,1019.8049333,7.0,33761.0
2221,1045.4582443,8.0,1082.9033866,9.0,17065.0
2222,1007.3173257,6.0,1035.9494931,8.0,12660.0
2223,1070.5756914,9.0,1093.7064708,10.0,21403.0
2224,1066.1465992,9.0,1078.1798066,9.0,14559.0
2225,1110.9737807,10.0,1141.210592,10.0,5560.0
2226,1089.003691,10.0,1112.9331124,10.0,13054.0
2227,1084.9645595,10.0,1100.1408939,10.0,15364.0
2228,1046.1902168,8.0,1060.7965141,9.0,21001.0
2229,1078.3976894,9.0,1095.9472167,10.0,30943.0
2230,1087.6113408,10.0,1104.0366063,10.0,30690.0
2231,1052.2858431,8.0,1035.7095852,8.0,2528.0
2232,1068.4516402,9.0,1078.8818934,9.0,35304.0
2233,1086.6390956,10.0,1077.5051064,9.0,29960.0
2234,1091.5747326,10.0,1101.9308777,10.0,30648.0
2250,1010.565966,6.0,1000.6039864,7.0,71168.0
2251,1045.0763512,8.0,1032.5433157,8.0,33721.0
2256,960.3945983,3.0,955.8477831,4.0,16039.0
2257,994.20304402,5.0,980.88204358,6.0,30403.0
2258,1048.2216757,8.0,1027.7472954,8.0,5253.0
2259,976.02308004,4.0,953.73013495,4.0,66236.0
2260,1079.4693659,10.0,1082.5927012,9.0,25845.0
2261,986.06463889,5.0,963.6773359,5.0,55129.0
2262,934.9147126,2.0,899.62057863,2.0,21411.0
2263,914.20568886,2.0,890.02763445,1.0,24554.0
2264,968.11815428,4.0,944.15052958,4.0,16162.0
2265,1016.3385979,6.0,998.13773453,7.0,7464.0
2267,1003.5679146,6.0,975.45457585,5.0,2920.0
2278,1010.9083962,6.0,951.30861928,4.0,2565.0
2280,1012.1934368,6.0,989.21460352,6.0,27183.0
2281,996.72214267,5.0,973.04773552,5.0,15323.0
2282,1058.1153412,9.0,1041.4051486,8.0,16146.0
2283,980.86444009,4.0,957.71533202,4.0,24419.0
2284,986.19469032,5.0,963.47458585,5.0,12612.0
2285,1013.9165239,6.0,983.5589463,6.0,33869.0
2286,986.93274337,5.0,940.47277986,4.0,4690.0
2287,1000.3274417,5.0,985.44651413,6.0,40845.0
2289,1064.1835402,9.0,1055.7524995,9.0,20257.0
2290,1020.8454783,7.0,1002.7314949,7.0,34912.0
2291,1083.6006157,10.0,1102.2652058,10.0,14279.0
2292,1008.2897877,6.0,1006.49335,7.0,2622.0
2293,1057.8147394,9.0,1070.902614,9.0,3302.0
2294,1011.3820259,6.0,1023.2796171,8.0,2061.0
2295,999.9320982,5.0,991.74425613,6.0,8091.0
2296,1017.1468983,6.0,1033.0610478,8.0,2026.0
2297,1031.9233298,7.0,1033.6415378,8.0,1801.0
2298,986.95204269,5.0,984.54442439,6.0,10141.0
2299,962.38441335,3.0,972.17513183,5.0,11905.0
2300,1048.504272,8.0,1080.4468502,9.0,12058.0
2302,1041.9774331,8.0,1063.7170471,9.0,1411.0
2303,995.02591566,5.0,1023.2271401,8.0,9710.0
2304,984.69181752,4.0,979.90588383,6.0,15807.0
2305,1050.0979765,8.0,1049.9396879,8.0,13108.0
2306,660.29707732,1.0,706.36182608,1.0,3421.0
2307,962.37009097,3.0,934.91629474,3.0,4537.0
2311,992.00939529,5.0,959.22996375,4.0,913.0
2312,968.06929907,4.0,919.91282457,2.0,1500.0
2315,1005.0553101,6.0,978.90358476,6.0,15287.0
2316,1009.5159287,6.0,967.33848854,5.0,6577.0
2317,994.84587234,5.0,960.30867213,5.0,6553.0
2318,1021.5216552,7.0,987.9040661,6.0,13667.0
2319,936.73295953,2.0,896.93159648,2.0,6887.0
2320,992.26970239,5.0,966.97357962,5.0,39163.0
2321,1020.876624,7.0,986.21997462,6.0,19857.0
2322,981.4369003,4.0,954.99910285,4.0,24373.0
2323,974.6130019,4.0,953.29199647,4.0,26051.0
2324,939.27064526,2.0,909.06255018,2.0,25443.0
2325,918.96388996,2.0,891.49916232,1.0,31073.0
2326,902.41889581,1.0,872.92634362,1.0,7871.0
2327,898.57956648,1.0,859.71658726,1.0,7830.0
2328,980.8576083,4.0,943.80009397,4.0,2506.0
2329,939.78667023,2.0,914.77273448,2.0,2138.0
2330,988.26475022,5.0,953.14892728,4.0,21445.0
2331,1061.6611479,9.0,1024.8396869,8.0,581.0
2333,927.6586645,2.0,899.77937477,2.0,13795.0
2334,977.42043982,4.0,929.49569425,3.0,3349.0
2335,1025.5005518,7.0,995.35826268,6.0,8124.0
2336,969.49050157,4.0,926.97323211,3.0,2589.0
2337,989.5757804,5.0,959.73920258,5.0,8060.0
2338,952.6139887,3.0,922.61088986,3.0,1403.0
2339,990.74611084,5.0,965.17006655,5.0,718.0
2340,963.34900612,3.0,940.6927515,4.0,52436.0
2341,823.93046894,1.0,808.48129303,1.0,1478.0
2342,1021.9672639,7.0,994.48486361,6.0,465.0
2343,941.70563743,2.0,919.53957634,2.0,4858.0
2344,1058.2466491,9.0,1015.0133063,7.0,674.0
2345,1023.1094372,7.0,967.60311555,5.0,707.0
2346,909.17058394,2.0,883.78959896,1.0,3033.0
2347,902.41824084,1.0,895.0958258,2.0,1865.0
2350,988.20882281,5.0,984.97056034,6.0,26911.0
2352,971.59534991,4.0,925.98267049,3.0,2950.0
2353,984.88416115,4.0,934.91685918,3.0,1201.0
2354,995.66311319,5.0,973.89160566,5.0,3484.0
2355,953.7974387,3.0,931.32680307,3.0,627.0
2356,899.98169652,1.0,896.5954105,2.0,124.0
2357,931.34858433,2.0,914.66137493,2.0,4069.0
2358,970.06134422,4.0,943.03584609,4.0,3727.0
2359,910.77470409,2.0,896.76197373,2.0,710.0
2360,935.56987345,2.0,909.08830541,2.0,14995.0
2361,856.10656264,1.0,864.76954517,1.0,927.0
2365,964.80215769,3.0,938.33578653,3.0,3762.0
2369,852.5976133,1.0,855.53633778,1.0,871.0
