postcode,seifa_disadvantage_score,seifa_disadvantage_decile,seifa_advantage_disadvantage_score,seifa_advantage_disadvantage_decile,usual_resident_population
2611,1084.101077,10.0,1111.172086,10.0,36535.0
2612,1105.4595695,10.0,1153.8767097,10.0,18965.0
2614,1066.9905158,9.0,1087.3166071,9.0,20595.0
2615,1047.155933,8.0,1046.8921568,8.0,47356.0
2617,1067.4438989,9.0,1081.8464454,9.0,38073.0
2618,1114.4669384,10.0,1123.1418159,10.0,1397.0
2619,1122.9462758,10.0,1139.8779984,10.0,9601.0
2620,1047.1941869,8.0,1046.4810368,8.0,45604.0
2621,1102.6813673,10.0,1112.2164121,10.0,6688.0
2622,1027.5601248,7.0,1005.0196087,7.0,4141.0
2623,985.12117946,4.0,951.79864881,4.0,611.0
2624,1001.9226463,5.5,978.4700941450001,5.5,162.0
2625,1015.6017054,6.0,1028.282495,8.0,400.0
2626,1054.7209186,8.0,1022.5738579,8.0,515.0
2627,1067.82236,9.0,1039.9214232,8.0,5263.0
2628,1026.1517948,7.0,987.10134776,6.0,2176.0
2629,1001.3212977,5.0,981.39097324,6.0,534.0
2630,1000.7773165,5.0,971.31382096,5.0,8876.0
2631,968.45973047,4.0,931.94559434,3.0,629.0
2632,965.07243769,3.0,931.37447749,3.0,1892.0
2633,939.10390682,2.0,914.61887763,2.0,321.0
2640,999.34061461,5.0,981.21289607,6.0,39879.0
2641,894.44353708,1.0,876.91913463,1.0,16550.0
2642,1024.373435,7.0,986.15753075,6.0,5476.0
2643,973.48795428,4.0,920.5030613,2.0,2997.0
2644,987.65690336,5.0,956.18144142,4.0,2442.0
2645,876.92704387,1.0,876.30727093,1.0,339.0
2646,962.51707911,3.0,922.02552484,3.0,6841.0
2647,1006.1811007,6.0,949.3497929,4.0,2557.0
2648,937.81154658,2.0,917.65042987,2.0,2671.0
2649,1024.8292871,7.0,983.2096625,6.0,30.0
2650,986.38448474,5.0,969.92869493,5.0,61511.0
2651,1000.3400018,5.0,954.75796829,4.0,3081.0
2652,1019.6817117,7.0,983.38480333,6.0,4757.0
2653,956.54862004,3.0,927.61105518,3.0,2636.0
2655,988.23960051,5.0,951.16900812,4.0,1416.0
2656,970.90377687,4.0,948.63254681,4.0,1327.0
2658,952.54029774,3.0,929.76867625,3.0,1488.0
2659,958.71039866,3.0,929.80585605,3.0,871.0
2660,962.58853637,3.0,932.18507564,3.0,1607.0
2661,1133.6167339,10.0,1087.0992728,9.0,395.0
2663,905.12073684,1.0,888.09823456,1.0,5281.0
2665,955.47387868,3.0,936.52101498,3.0,2017.0
2666,973.21706202,4.0,940.43006737,4.0,5636.0
2668,907.08544284,1.0,920.93478395,2.0,404.0
2669,998.57463405,5.0,979.5976893,6.0,1539.0
2671,998.18355221,5.0,954.39153378,4.0,3969.0
2672,937.67470144,2.0,925.20884842,3.0,1511.0
2675,960.53354395,3.0,944.83061511,4.0,1659.0
2680,971.34889308,4.0,949.19503841,4.0,25339.0
2681,1016.1888204,6.0,966.71464389,5.0,1793.0
2700,917.48762382,2.0,899.42604347,2.0,4873.0
2701,1007.5709286,6.0,971.49950818,5.0,2492.0
2702,951.03916341,3.0,922.70279305,3.0,793.0
2703,966.59363751,3.0,916.84258238,2.0,744.0
2705,947.31009453,3.0,922.09820225,3.0,10687.0
2706,924.83050278,2.0,897.98306231,2.0,1030.0
2707,1020.6889316,7.0,988.67364061,6.0,1167.0
2710,962.61590818,3.0,933.7138936,3.0,9743.0
2711,962.20448309,3.0,934.08871376,3.0,3197.0
2712,935.61711203,2.0,910.49213731,2.0,1375.0
2713,950.58641831,3.0,919.45924355,2.0,2746.0
2714,980.78865511,4.0,935.29361938,3.0,2921.0
2715,943.5039151,2.0,924.69124358,3.0,1382.0
2716,980.80885152,4.0,943.33222246,4.0,988.0
2717,902.82722744,1.0,887.18627801,1.0,1205.0
2720,951.96063539,3.0,919.33497362,2.0,8501.0
2721,995.96818835,5.0,988.24065425,6.0,230.0
2722,958.76248659,3.0,931.84114934,3.0,3418.0
2725,926.16941473,2.0,902.49224973,2.0,347.0
2726,1028.9342925,7.0,1010.0570416,7.0,255.0
2727,1042.7611506,8.0,1020.695776,8.0,348.0
2729,978.94853458,4.0,946.44194954,4.0,1622.0
2730,901.71948739,1.0,885.11723216,1.0,1335.0
2731,1020.1753919,7.0,980.52336059,6.0,7446.0
2732,967.07388541,3.0,942.38950203,4.0,1877.0
2733,948.03379557,3.0,927.34114089,3.0,598.0
2734,1059.9869869,9.0,1036.7254837,8.0,472.0
2735,992.325495,5.0,953.5109047,4.0,408.0
2736,917.41930393,2.0,928.48919511,3.0,419.0
2737,984.92924261,4.0,946.37178934,4.0,822.0
2738,1053.8207039,8.0,1014.9831941,7.0,2132.0
2739,974.8331484,4.0,954.86830446,4.0,1414.0
2745,1057.6782649,9.0,1054.5996755,9.0,31847.0
2747,989.9616964,5.0,985.53437789,6.0,54397.0
2748,1035.5157073,7.0,1019.0277758,7.0,1798.0
2749,996.36967882,5.0,978.49534141,6.0,17029.0
2750,988.97158518,5.0,977.26118994,5.0,49204.0
2752,1048.2281016,8.0,1024.4006478,8.0,5747.0
2753,1010.7567048,6.0,992.41027583,6.0,17587.0
2754,1022.3196591,7.0,1008.5569448,7.0,7065.0
2756,1021.0521451,7.0,1001.3458291,7.0,35328.0
2757,1050.4992115,8.0,1036.8344521,8.0,850.0
2758,1074.71157,9.0,1062.4156912,9.0,8848.0
2759,1006.8685441,6.0,983.63834652,6.0,26434.0
2760,928.83367764,2.0,923.84161488,3.0,37632.0
2761,1000.6937206,5.0,997.8994671,7.0,34702.0
2762,1082.6187532,10.0,1121.5211438,10.0,21780.0
2763,1046.3335351,8.0,1051.2841828,9.0,33197.0
2765,1066.3157802,9.0,1092.1082145,10.0,45613.0
2766,963.34870455,3.0,966.16438459,5.0,17047.0
2767,962.60454461,3.0,977.56269704,5.0,23384.0
2768,1083.4183405,10.0,1120.137965,10.0,28864.0
2769,1105.205417,10.0,1162.0249881,10.0,16315.0
2770,820.30213869,1.0,846.00490763,1.0,61494.0
2773,1101.8010067,10.0,1110.4166713,10.0,5978.0
2774,1070.7502669,9.0,1066.2825498,9.0,13010.0
2775,982.49470606,4.0,968.9557789,5.0,1518.0
2776,1070.3189923,9.0,1058.3576927,9.0,4156.0
2777,1069.6679777,9.0,1055.831524,9.0,17816.0
2778,1057.0490695,9.0,1041.4131346,8.0,2425.0
2779,1033.4112932,7.0,1018.6095066,7.0,5077.0
2780,992.64933781,5.0,996.83111879,6.0,13348.0
2782,1043.3262804,8.0,1036.3373525,8.0,6428.0
2783,1013.0274402,6.0,998.56311286,7.0,2651.0
2784,1058.3131139,9.0,1044.5406509,8.0,1300.0
2785,1018.4736547,6.0,1012.6836364,7.0,4822.0
2786,1013.1197187,6.0,998.59622684,7.0,1178.0
2787,967.31160302,3.0,936.15722001,3.0,4605.0
2790,934.22526635,2.0,914.04258863,2.0,15452.0
2791,1007.8901761,6.0,1000.4037481,7.0,322.0
2792,990.07742574,5.0,972.78727432,5.0,386.0
2793,919.28977938,2.0,903.14724916,2.0,1074.0
2794,926.10504727,2.0,902.21420293,2.0,10504.0
2795,992.81232285,5.0,968.54093753,5.0,45077.0
2797,951.98694316,3.0,915.73089541,2.0,434.0
2798,1074.58006,9.0,1051.7144695,9.0,2193.0
2799,953.7325218,3.0,921.7543468,3.0,4156.0
2800,1006.1161996,6.0,987.8881598,6.0,48283.0
2803,995.84601627,5.0,973.04408261,5.0,286.0
2804,977.40058362,4.0,953.00480916,4.0,2832.0
2805,970.6956643,4.0,935.04131837,3.0,408.0
2806,957.17266635,3.0,923.31968427,3.0,862.0
2807,866.05638354,1.0,847.93643016,1.0,450.0
2808,959.25312163,3.0,938.98306327,3.0,216.0
2809,1002.154218,6.0,1006.8918104,7.0,202.0
2810,955.8530985,3.0,934.01811731,3.0,3132.0
2817,1028.3702795,7.0,1019.211338,7.0,359.0
2818,1018.0971778,6.0,969.7953158,5.0,849.0
2820,911.80036583,2.0,900.18961555,2.0,7378.0
2821,957.69187899,3.0,929.02876182,3.0,4778.0
2822,992.02627427,5.0,957.37937101,4.0,433.0
2823,956.12754056,3.0,945.35706965,4.0,1340.0
2824,937.74299126,2.0,929.7348176,3.0,2055.0
2825,963.07687486,3.0,944.34700258,4.0,2202.0
2826,1048.2523664,8.0,1032.7214628,8.0,178.0
2827,913.59897819,2.0,895.40526806,2.0,3678.0
2828,908.56956128,2.0,928.35510929,3.0,798.0
2829,881.42573609,1.0,886.79795047,1.0,2965.0
2830,996.56009332,5.0,967.40290322,5.0,44963.0
2831,1005.0887778,6.0,978.50234372,6.0,1845.0
2832,924.51516174,2.0,933.95250885,3.0,2149.0
2833,837.21129614,1.0,864.65749912,1.0,634.0
2834,826.85839059,1.0,836.84729411,1.0,1984.0
2835,966.10700592,3.0,936.2462425,3.0,3793.0
2836,786.88442688,1.0,855.3195962,1.0,895.0
2838,742.76366654,1.0,815.75627478,1.0,223.0
2839,826.8702998,1.0,872.12593965,1.0,1079.0
2840,947.08481678,3.0,954.37588941,4.0,2389.0
2842,892.16411219,1.0,893.7449188,2.0,720.0
2843,959.13025092,3.0,939.31936047,3.0,1262.0
2844,948.75362159,3.0,934.98147026,3.0,1312.0
2845,935.12662513,2.0,902.5255107,2.0,2019.0
2846,950.76952185,3.0,930.53452142,3.0,253.0
2847,915.07454853,2.0,880.86791413,1.0,2447.0
2848,798.05120258,1.0,802.65778002,1.0,1540.0
2849,981.50512641,4.0,955.46603442,4.0,1610.0
2850,996.52175184,5.0,965.21478068,5.0,19146.0
2852,960.29267227,3.0,922.03322939,3.0,3734.0
2864,1015.9606797,6.0,985.42704651,6.0,824.0
2865,981.67219924,4.0,939.25102209,3.0,927.0
2866,1012.7989784,6.0,975.81974939,5.0,3112.0
2867,969.9386883,4.0,944.37933345,4.0,636.0
2868,951.76807202,3.0,929.03961123,3.0,579.0
2869,902.2209927,1.0,905.33457305,2.0,1528.0
2870,953.54929804,3.0,925.4484547,3.0,12036.0
2871,967.02283635,3.0,939.14678845,3.0,8965.0
2873,981.71336329,4.0,969.64895514,5.0,560.0
2874,912.35700463,2.0,930.44488079,3.0,369.0
2875,972.41282418,4.0,961.20963954,5.0,802.0
2876,981.17214416,4.0,966.61917972,5.0,494.0
2877,938.70312171,2.0,922.5151372,3.0,3575.0
2878,891.38175004,1.0,901.07259075,2.0,286.0
2879,870.24555868,1.0,884.59559372,1.0,577.0
2880,916.87860552,2.0,895.93942428,2.0,18097.0
2898,1052.6357729,8.0,1014.2565187,7.0,445.0
2899,1005.8468293,6.0,957.77873614,4.0,2188.0
2900,1049.4575713,8.0,1053.0829549,9.0,4177.0
2902,1045.9319125,8.0,1049.3239483,8.0,15670.0
2903,1056.6356093,8.0,1057.3662936,9.0,9588.0
2904,1080.2867865,10.0,1089.3118718,9.0,13196.0
2905,1046.4742349,8.0,1039.509718,8.0,28731.0
2906,1055.2037022,8.0,1047.5270314,8.0,18107.0
2911,1115.3953964,10.0,1150.2640212,10.0,4804.0
2912,1045.2551267,8.0,1071.305078,9.0,8604.0
2913,1074.1027019,9.0,1087.8663705,9.0,39396.0
2914,1084.4488801,10.0,1110.1286148,10.0,34576.0
3000,979.90573596,4.0,1064.7490358,9.0,43084.0
3002,1107.3787309,10.0,1156.1699092,10.0,4896.0
3003,1047.6294974,8.0,1100.0502185,10.0,8025.0
3004,1078.6665977,10.0,1119.3121083,10.0,11482.0
3006,1053.459373,8.0,1106.4986994,10.0,22699.0
3008,1043.5080331,8.0,1108.7903845,10.0,15495.0
3011,1003.9978936,6.0,1048.1912827,8.0,22278.0
3012,1010.6345087,6.0,1039.082819,8.0,27023.0
3013,1076.6185594,9.0,1109.03043,10.0,15636.0
3015,1074.8138003,9.0,1103.0699902,10.0,18634.0
3016,1067.0212418,9.0,1100.9541082,10.0,16025.0
3018,1040.3102587,8.0,1048.148564,8.0,13556.0
3019,867.05902157,1.0,917.34989719,2.0,9682.0
3020,891.25556263,1.0,919.41360751,2.0,44372.0
3021,832.42084404,1.0,867.98443629,1.0,55112.0
3022,896.49713007,1.0,920.963074,2.0,3170.0
3023,969.26536495,4.0,973.80338595,5.0,67146.0
3024,990.43756721,5.0,983.90275184,6.0,34004.0
3025,961.15509093,3.0,989.90051947,6.0,12962.0
3026,979.28535253,4.0,988.71333893,6.0,8770.0
3027,1062.243147,9.0,1080.4344043,9.0,9448.0
3028,976.94415773,4.0,966.13917359,5.0,28191.0
3029,998.4178519,5.0,993.96501031,6.0,129888.0
3030,1014.117275,6.0,1016.3198249,7.0,119201.0
3031,985.35694131,4.0,1049.3881496,8.0,17772.0
3032,1029.794501,7.0,1062.7762288,9.0,29874.0
3033,1036.2359395,7.0,1031.3322738,8.0,15078.0
3034,1008.1400831,6.0,1011.7162681,7.0,12388.0
3036,1076.3322381,9.0,1060.8027977,9.0,5974.0
3037,1001.8994593,5.0,988.93663644,6.0,51402.0
3038,1013.7780199,6.0,1001.0912289,7.0,26703.0
3039,1067.2266385,9.0,1096.9484682,10.0,16224.0
3040,1076.0503058,9.0,1093.7534783,10.0,26722.0
3041,1077.9038199,9.0,1086.2881811,9.0,13111.0
3042,1035.0567261,7.0,1028.8230437,8.0,16763.0
3043,984.95890978,4.0,971.43440797,5.0,17912.0
3044,1052.2718767,8.0,1060.0065709,9.0,28701.0
3045,1064.1047991,9.0,1052.5917014,9.0,64.0
3046,983.55764219,4.0,993.89074899,6.0,36772.0
3047,785.69376093,1.0,838.65775435,1.0,21478.0
3048,797.13662958,1.0,840.93511783,1.0,18081.0
3049,990.23008365,5.0,975.35693357,5.0,9812.0
3051,977.05349717,4.0,1053.5679816,9.0,14953.0
3052,1055.2991551,8.0,1102.169853,10.0,7297.0
3053,964.32122929,3.0,1051.7126364,9.0,16034.0
3054,1086.9187612,10.0,1135.4556933,10.0,8186.0
3055,1047.7656353,8.0,1074.6562343,9.0,14746.0
3056,1060.7560801,9.0,1105.7054072,10.0,24912.0
3057,1075.469362,9.0,1116.5806188,10.0,13262.0
3058,1030.4186858,7.0,1059.0657101,9.0,34906.0
3059,1032.8138269,7.0,1033.5864504,8.0,21274.0
3060,934.01650516,2.0,950.28417835,4.0,14274.0
3061,809.23592175,1.0,845.41729735,1.0,4977.0
3063,1059.0237616,9.0,1025.7270035,8.0,563.0
3064,944.57637699,3.0,955.57813338,4.0,114413.0
3065,978.83068733,4.0,1065.8556789,9.0,10431.0
3066,961.85843528,3.0,1045.124795,8.0,9179.0
3067,1077.0856891,9.0,1127.1147307,10.0,9096.0
3068,1075.4600889,9.0,1132.736387,10.0,19382.0
3070,1070.8273656,9.0,1117.2137381,10.0,25276.0
3071,1047.7279203,8.0,1082.8228566,9.0,19005.0
3072,1013.9670721,6.0,1039.7523409,8.0,33790.0
3073,976.56584954,4.0,987.9404371,6.0,51096.0
3074,884.81487917,1.0,900.06411256,2.0,20234.0
3075,904.5126528,1.0,918.4426271,2.0,23219.0
3076,963.66970138,3.0,955.05204079,4.0,33489.0
3078,1077.2096256,9.0,1114.0879691,10.0,12237.0
3079,1091.8675529,10.0,1121.3103087,10.0,17055.0
3081,955.48553004,3.0,985.30303552,6.0,14003.0
3082,1001.9458333,6.0,985.46937729,6.0,28712.0
3083,1006.4627072,6.0,1010.3959569,7.0,31529.0
3084,1080.1853258,10.0,1094.031653,10.0,27045.0
3085,1070.4123753,9.0,1074.5229319,9.0,14050.0
3087,1046.2888677,8.0,1034.8060647,8.0,9156.0
3088,1069.7412232,9.0,1059.9415899,9.0,27181.0
3089,1085.3852876,10.0,1072.0224761,9.0,12503.0
3090,1121.3202593,10.0,1117.5059146,10.0,2575.0
3091,1094.9727797,10.0,1082.9149756,9.0,1602.0
3093,1086.7671762,10.0,1091.7504307,10.0,3962.0
3094,1081.2628769,10.0,1072.2128111,9.0,9250.0
3095,1099.1092595,10.0,1100.4474431,10.0,28373.0
3096,1071.6627563,9.0,1051.8860251,9.0,1911.0
3097,1104.6361036,10.0,1121.2838616,10.0,1536.0
3099,1072.2408613,9.0,1057.3361665,9.0,4993.0
3101,1089.8754293,10.0,1133.9303651,10.0,24499.0
3102,1087.4264107,10.0,1122.6753007,10.0,6620.0
3103,1063.1007122,9.0,1108.3872705,10.0,15621.0
3104,1075.6267884,9.0,1115.3425427,10.0,21302.0
3105,1047.2517689,8.0,1061.3719842,9.0,11124.0
3106,1074.2141208,9.0,1093.8146219,10.0,16966.0
3107,1055.1175587,8.0,1070.9330661,9.0,14164.0
3108,1027.4767553,7.0,1056.6144528,9.0,25054.0
3109,1044.6742736,8.0,1064.4615928,9.0,30926.0
3111,1068.5667499,9.0,1086.1101414,9.0,12644.0
3113,1102.6300287,10.0,1113.3067443,10.0,8562.0
3114,1117.1004217,10.0,1130.3155449,10.0,3835.0
3115,1112.4800825,10.0,1103.1091493,10.0,3843.0
3116,1059.625125,9.0,1036.5710202,8.0,11779.0
3121,1049.1237872,8.0,1109.3748218,10.0,31534.0
3122,1087.3542429,10.0,1128.074772,10.0,22322.0
3123,1091.5446097,10.0,1132.0131905,10.0,14834.0
3124,1096.6721154,10.0,1136.9931272,10.0,21965.0
3125,1022.1230428,7.0,1060.1011111,9.0,15147.0
3126,1102.4021288,10.0,1146.2823142,10.0,7773.0
3127,1098.4161912,10.0,1133.9569754,10.0,18608.0
3128,991.00097382,5.0,1041.129945,8.0,22841.0
3129,1040.7820882,8.0,1074.0799586,9.0,17946.0
3130,1064.2488896,9.0,1081.8631957,9.0,33044.0
3131,1032.084911,7.0,1047.8592407,8.0,23191.0
3132,1062.4158715,9.0,1074.6102446,9.0,16795.0
3133,1061.2733986,9.0,1072.1846571,9.0,22951.0
3134,1048.7705363,8.0,1052.7383643,9.0,34607.0
3135,1049.2226514,8.0,1049.9307911,8.0,20698.0
3136,1036.6016693,7.0,1025.9267959,8.0,46296.0
3137,1022.0831131,7.0,994.21343924,6.0,14558.0
3138,1030.6893601,7.0,1009.4081685,7.0,23059.0
3139,1039.5075892,8.0,994.78673619,6.0,14257.0
3140,1032.9921972,7.0,1006.1673172,7.0,17348.0
3141,1069.3576511,9.0,1124.4104476,10.0,25028.0
3142,1104.552315,10.0,1149.7774991,10.0,12817.0
3143,1088.6737345,10.0,1129.9784929,10.0,9376.0
3144,1103.0194172,10.0,1147.4829456,10.0,10763.0
3145,1085.9551275,10.0,1125.3458504,10.0,23594.0
3146,1107.3337944,10.0,1144.0638741,10.0,26131.0
3147,1052.5511767,8.0,1095.4411006,10.0,15102.0
3148,1029.754229,7.0,1059.0637862,9.0,9552.0
3149,1066.3540872,9.0,1091.5032019,10.0,35340.0
3150,1052.9764481,8.0,1079.2698672,9.0,63298.0
3151,1030.7625134,7.0,1047.0146133,8.0,10675.0
3152,1050.0303013,8.0,1052.2408583,9.0,34940.0
3153,1008.1341951,6.0,988.7354955,6.0,21276.0
3154,1055.0207485,8.0,1024.5165166,8.0,4500.0
3155,1015.5895675,6.0,991.94461567,6.0,23660.0
3156,1043.9524057,8.0,1024.4018624,8.0,38484.0
3158,1074.2970238,9.0,1051.8359822,9.0,6818.0
3159,1074.3100952,9.0,1059.6303516,9.0,2593.0
3160,1069.0772222,9.0,1051.6174636,9.0,9024.0
3161,1091.0402156,10.0,1127.2300518,10.0,16903.0
3162,1085.8711158,10.0,1119.9287459,10.0,18075.0
3163,1065.4827476,9.0,1089.5802857,9.0,32810.0
3165,1071.1660176,9.0,1090.2259642,9.0,30159.0
3166,1042.1135026,8.0,1062.1404535,9.0,24753.0
3167,1029.4837245,7.0,1038.1018047,8.0,9851.0
3168,982.27477064,4.0,1019.1759223,7.0,21880.0
3169,961.09966235,3.0,979.86540491,6.0,20820.0
3170,1037.5053205,8.0,1042.8563539,8.0,19889.0
3171,845.18017611,1.0,899.97646928,2.0,22174.0
3172,936.85597091,2.0,954.52697248,4.0,23261.0
3173,976.80733531,4.0,998.87007292,7.0,30018.0
3174,885.08492305,1.0,907.72311649,2.0,39693.0
3175,867.83905014,1.0,897.01308371,2.0,53545.0
3177,832.05546014,1.0,859.46789831,1.0,11889.0
3178,1066.3933705,9.0,1055.5177653,9.0,33571.0
3179,1038.6350289,8.0,1026.1605342,8.0,6066.0
3180,1044.7914329,8.0,1026.8637169,8.0,7645.0
3181,1072.5904591,9.0,1120.8571856,10.0,19636.0
3182,1050.4490704,8.0,1087.4153591,9.0,22438.0
3183,1067.3536209,9.0,1102.7227241,10.0,17964.0
3184,1082.7194025,10.0,1116.6326607,10.0,15153.0
3185,1083.1496358,10.0,1116.3901179,10.0,13433.0
3186,1100.5535203,10.0,1145.2868964,10.0,23252.0
3187,1083.8313055,10.0,1126.5668258,10.0,16757.0
3188,1072.8738402,9.0,1114.1438566,10.0,18587.0
3189,1046.6284355,8.0,1067.7392443,9.0,6287.0
3190,1061.0722848,9.0,1083.6476983,9.0,12007.0
3191,1088.3259902,10.0,1122.3079178,10.0,10926.0
3192,1052.4633013,8.0,1063.0546093,9.0,24129.0
3193,1107.8478857,10.0,1132.964253,10.0,20207.0
3194,1060.694497,9.0,1072.2743059,9.0,13221.0
3195,1075.8179785,9.0,1082.4751764,9.0,37364.0
3196,1048.7916643,8.0,1040.9484962,8.0,26876.0
3197,1042.9787644,8.0,1032.5637337,8.0,12032.0
3198,997.17318423,5.0,979.03376032,6.0,17215.0
3199,1000.5073177,5.0,989.02411264,6.0,56127.0
3200,845.093738,1.0,837.85344875,1.0,5711.0
3201,985.84433209,4.0,950.28659436,4.0,21976.0
3202,1050.31622,8.0,1060.9401479,9.0,2826.0
3204,1072.0687928,9.0,1102.5930184,10.0,33130.0
3205,1028.2162913,7.0,1093.2080209,10.0,11548.0
3206,1085.9603761,10.0,1138.2199618,10.0,10043.0
3207,1054.2977094,8.0,1111.5597,10.0,17633.0
3211,1008.4451458,6.0,995.87553101,6.0,1353.0
3212,1025.811847,7.0,992.1505359,6.0,19272.0
3213,1027.3505304,7.0,1001.6611362,7.0,4753.0
3214,801.19226044,1.0,812.87371707,1.0,24500.0
3215,984.1935099,4.0,966.74816973,5.0,21994.0
3216,1038.6234443,8.0,1020.3816018,8.0,60123.0
3217,1068.2403435,9.0,1042.7904269,8.0,20499.0
3218,1038.5218839,8.0,1033.3466508,8.0,14942.0
3219,935.98346004,2.0,914.11217282,2.0,20309.0
3220,1059.4198824,9.0,1067.0215085,9.0,17270.0
3221,1099.8012768,10.0,1092.6935321,10.0,801.0
3222,1019.6574753,7.0,982.79826027,6.0,18576.0
3223,1001.0012911,5.0,971.66670752,5.0,9536.0
3224,1023.4436294,7.0,980.45774181,6.0,15101.0
3225,1081.2217193,10.0,1065.0389027,9.0,5408.0
3226,1073.3682961,9.0,1053.6284696,9.0,17714.0
3227,1096.1729409,10.0,1099.8971321,10.0,5459.0
3228,1096.889476,10.0,1092.5649008,10.0,24181.0
3230,1080.7375313,10.0,1067.3776733,9.0,3208.0
3231,1094.4018561,10.0,1079.8443833,9.0,1571.0
3232,1052.2341764,8.0,1040.6867921,8.0,1327.0
3233,1006.6052071,6.0,973.63006547,5.0,2363.0
3234,1075.7452623,9.0,1049.6217257,8.0,237.0
3235,1067.433362,9.0,1055.1746534,9.0,515.0
3236,1004.7141718,6.0,993.32948642,6.0,257.0
3237,979.82148485,4.0,962.28022231,5.0,276.0
3238,1004.0626353,6.0,997.01411224,7.0,251.0
3239,980.47673101,4.0,961.31909516,5.0,491.0
3240,1093.5320375,10.0,1062.413934,9.0,2169.0
3241,1017.8878061,6.0,981.90184879,6.0,3072.0
3242,1064.7089679,9.0,1027.041987,8.0,942.0
3243,1062.1362632,9.0,1037.8814545,8.0,392.0
3249,1017.1429135,6.0,979.9058802,6.0,3368.0
3250,938.8010321,2.0,903.44673929,2.0,12756.0
3251,993.75686332,5.0,954.31530457,4.0,524.0
3254,997.98315001,5.0,932.55458802,3.0,358.0
3260,986.73878148,5.0,954.0733226,4.0,4801.0
3264,944.83112063,3.0,910.53683678,2.0,2254.0
3265,1018.1621447,6.0,997.33649178,7.0,2827.0
3266,977.03392574,4.0,943.45515979,4.0,3047.0
3267,1024.929929,7.0,1008.4659849,7.0,214.0
3268,1028.0372821,7.0,997.42596772,7.0,2552.0
3269,1045.8166545,8.0,1019.8546283,7.0,676.0
3270,1065.90364,9.0,1022.8550779,8.0,322.0
3271,1020.9298009,7.0,1020.8603966,8.0,188.0
3272,946.52588073,3.0,924.29001785,3.0,1641.0
3273,1086.0706604,10.0,1061.5809933,9.0,130.0
3274,988.66066747,5.0,994.43707322,6.0,256.0
3275,1052.5917695,8.0,987.74873607,6.0,490.0
3276,1016.6483031,6.0,988.97528885,6.0,437.0
3277,1032.1649101,7.0,988.33603667,6.0,1820.0
3278,1032.4135436,7.0,992.72700365,6.0,343.0
3279,1034.1871303,7.0,996.33775439,6.0,300.0
3280,991.14222763,5.0,958.42134852,4.0,33298.0
3281,1076.196452,9.0,1033.282051,8.0,1857.0
3282,1029.9223894,7.0,977.09568559,5.0,2488.0
3283,1051.0051798,8.0,1014.3277822,7.0,1423.0
3284,1047.7257436,8.0,1025.6728346,8.0,3860.0
3285,1047.4872852,8.0,1010.8622613,7.0,1255.0
3286,1019.5799265,7.0,987.64170252,6.0,532.0
3287,1016.6167843,6.0,993.20833042,6.0,418.0
3289,958.85975781,3.0,942.71204017,4.0,804.0
3292,1006.7918288,6.0,977.92753355,5.0,191.0
3293,971.54681373,4.0,967.67575428,5.0,336.0
3294,1035.3683489,7.0,1012.1003746,7.0,967.0
3300,984.84974623,4.0,945.85552677,4.0,10479.0
3301,1066.145577,9.0,1041.2096683,8.0,1267.0
3302,1027.0551577,7.0,1008.8974741,7.0,356.0
3303,981.14194398,4.0,954.67754339,4.0,282.0
3304,940.03590153,2.0,906.12599066,2.0,2786.0
3305,944.65119551,3.0,912.026088,2.0,13344.0
3309,986.9760006,5.0,970.83738931,5.0,122.0
3310,940.7534371,2.0,908.16230789,2.0,263.0
3311,936.96824061,2.0,900.47694869,2.0,1707.0
3312,1020.4595592,7.0,994.87247438,6.0,1023.0
3314,1040.4670947,8.0,1028.2531899,8.0,569.0
3315,978.61098522,4.0,955.29515115,4.0,1686.0
3317,999.34601848,5.0,987.54277799,6.0,184.0
3318,967.34184494,3.0,950.7876217,4.0,1243.0
3319,983.60130825,4.0,958.39792669,4.0,410.0
3321,1080.649442,10.0,1044.5493574,8.0,1780.0
3322,1000.4461738,5.0,980.58249155,6.0,176.0
3323,1003.3264298,6.0,988.87619122,6.0,91.0
3324,941.70484606,2.0,922.56170544,3.0,577.0
3325,972.96413287,4.0,950.11855821,4.0,456.0
3328,1065.4840406,9.0,1013.1358013,7.0,2308.0
3329,1000.0237732,5.0,972.90513622,5.0,309.0
3330,1000.4699317,5.0,950.49817447,4.0,208.0
3331,1050.790977,8.0,1006.9160653,7.0,7202.0
3332,1031.1476109,7.0,983.89714267,6.0,1181.0
3333,1005.6490267,6.0,978.99736537,6.0,864.0
3334,998.93623723,5.0,966.13642505,5.0,544.0
3335,1004.9502123,6.0,994.1719793,6.0,6195.0
3336,1050.9495794,8.0,1044.391282,8.0,17737.0
3337,924.70405726,2.0,905.7107023,2.0,40724.0
3338,940.74967094,2.0,934.6100462,3.0,37062.0
3340,1011.609353,6.0,983.65532666,6.0,25614.0
3341,1047.5380797,8.0,1012.6777845,7.0,1644.0
3342,1012.8177025,6.0,978.57190555,6.0,3946.0
3345,1045.0892525,8.0,1013.6156547,7.0,1393.0
3350,1007.0200787,6.0,991.17038003,6.0,66022.0
3351,1021.6585939,7.0,975.1630542,5.0,9106.0
3352,1039.7981488,8.0,999.58134706,7.0,18922.0
3355,887.82856293,1.0,874.12582173,1.0,13059.0
3356,895.03372028,1.0,868.38878839,1.0,15601.0
3357,1071.7680853,9.0,1044.9310031,8.0,3797.0
